GCVS S And                      =M31 V0894
GCVS V0710 Cep                  =NSV 26012
GCVS V0732 Cep                  =V1523 Cyg
GCVS V0734 Cep                  =NSV 00043
GCVS V0735 Cep                  =NSV 13492
GCVS V0736 Cep                  =NSV 13635
GCVS V0737 Cep                  =NSV 13695
GCVS V0738 Cep                  =NSV 25632
GCVS V0739 Cep                  =NSV 13796
GCVS V0740 Cep                  =NSV 14038
GCVS V0741 Cep                  =NSV 25862
GCVS V0742 Cep                  =NSV 14111
GCVS V0743 Cep                  =NSV 14110
GCVS V0744 Cep                  =NSV 14149
GCVS V0745 Cep                  =NSV 14280
GCVS V0746 Cep                  =NSV 14288
GCVS V0747 Cep                  =NSV 26199
GCVS V0781 Cep                  =NSV 15172
GCVS V1025 Cep                  =NSV 12866
GCVS V1026 Cep                  =NSV 12964
GCVS V1028 Cep                  =NSV 13122
GCVS V1029 Cep                  =NSV 13108
GCVS V1032 Cep                  =NSV 13251
GCVS V1034 Cep                  =NSV 13255
GCVS V1035 Cep                  =NSV 13480
GCVS V1036 Cep                  =NSV 13487
GCVS V1037 Cep                  =NSV 13584
GCVS V1038 Cep                  =NSV 13610
GCVS V1040 Cep                  =NSV 13657
GCVS V1041 Cep                  =NSV 13677
GCVS V1042 Cep                  =NSV 13669
GCVS V1043 Cep                  =NSV 13707
GCVS V1044 Cep                  =NSV 13714
GCVS V1045 Cep                  =NSV 13732
GCVS V1046 Cep                  =NSV 13788
GCVS V1047 Cep                  =NSV 13792
GCVS V1048 Cep                  =NSV 13805
GCVS V1049 Cep                  =NSV 13818
GCVS V1050 Cep                  =NSV 13819
GCVS V1051 Cep                  =NSV 13842
GCVS V1052 Cep                  =NSV 13861
GCVS V1053 Cep                  =NSV 13867
GCVS V1054 Cep                  =NSV 13883
GCVS V1055 Cep                  =NSV 13896
GCVS V1056 Cep                  =NSV 13895
GCVS V1064 Cep                  =NSV 13955
GCVS V1067 Cep                  =NSV 13961
GCVS V1108 Cep                  =NSV 25911
GCVS zet Cep                    =NSV 14066
GCVS nu. Cep                    =NSV 13875
GCVS BL Cet                     =NSV 00577
GCVS BU Cet                     =NSV 00212
GCVS CF Cet                     =NSV 00051
GCVS CU Cet                     =NSV 00476
GCVS CY Cet                     =NSV 00545
GCVS DH Cet                     =NSV 00634
GCVS DX Cet                     =NSV 00871
GCVS EH Cet                     =NSV 00990
GCVS EP Cet                     =NSV 15500
GCVS EZ Cet                     =NSV 15392
GCVS FO Cet                     =NSV 15441
GCVS FS Cet                     =NSV 00864
GCVS FU Cet                     =NSV 15621
GCVS FV Cet                     =NSV 00201
GCVS FW Cet                     =NSV 00252
GCVS FX Cet                     =NSV 00285
GCVS FY Cet                     =NSV 15337
GCVS FZ Cet                     =NSV 00601
GCVS GG Cet                     =NSV 00646
GCVS GH Cet                     =NSV 00675
GCVS GI Cet                     =NSV 15628
GCVS II Cet                     =NSV 00259
GCVS IN Cet                     =NSV 00388
GCVS KV Cet                     =NSV 00292
GCVS KW Cet                     =NSV 00335
GCVS KY Cet                     =NSV 00399
GCVS KZ Cet                     =NSV 00485
GCVS LL Cet                     =NSV 00496
GCVS LM Cet                     =NSV 00518
GCVS LP Cet                     =NSV 00660
GCVS kap 1 Cet                  =NSV 01100
GCVS RY Cha                     =NSV 04934
GCVS AV Cha                     =NSV 05771
GCVS CR Cha                     =NSV 05049
GCVS CS Cha                     =NSV 05073
GCVS CT Cha                     =NSV 05081
GCVS CU Cha                     =NSV 05106
GCVS CV Cha                     =NSV 05138
GCVS CW Cha                     =NSV 05139
GCVS CX Cha                     =NSV 04966
GCVS CY Cha                     =NSV 04983
GCVS CZ Cha                     =NSV 05017
GCVS DD Cha                     =NSV 05114
GCVS DE Cha                     =NSV 05328
GCVS DF Cha                     =NSV 05463
GCVS DG Cha                     =NSV 05842
GCVS DH Cha                     =NSV 06205
GCVS DI Cha                     =NSV 05099
GCVS DL Cha                     =NSV 06083
GCVS DU Cha                     =NSV 05336
GCVS DZ Cha                     =NSV 18943
GCVS EP Cha                     =NSV 04280
GCVS ER Cha                     =NSV 18334
GCVS EU Cha                     =NSV 04487
GCVS EV Cha                     =NSV 06280
GCVS EV Cha                     =NSV 06288
GCVS EW Cha                     =NSV 04451
GCVS EX Cha                     =NSV 04547
GCVS EY Cha                     =NSV 04911
GCVS EZ Cha                     =NSV 04933
GCVS FF Cha                     =NSV 04980
GCVS FG Cha                     =NSV 05004
GCVS FH Cha                     =NSV 05055
GCVS FI Cha                     =NSV 18674
GCVS FK Cha                     =NSV 18675
GCVS FL Cha                     =NSV 18679
GCVS FM Cha                     =NSV 05116
GCVS FN Cha                     =NSV 18686
GCVS FO Cha                     =NSV 05124
GCVS FP Cha                     =NSV 05191
GCVS FQ Cha                     =NSV 05228
GCVS FR Cha                     =NSV 05260
GCVS FS Cha                     =NSV 05366
GCVS FT Cha                     =NSV 05371
GCVS FU Cha                     =NSV 05423
GCVS FV Cha                     =NSV 05694
GCVS FW Cha                     =NSV 05918
GCVS FX Cha                     =NSV 05965
GCVS FY Cha                     =NSV 06057
GCVS FZ Cha                     =NSV 06069
GCVS GG Cha                     =NSV 06192
GCVS GH Cha                     =NSV 06252
GCVS GI Cha                     =NSV 06312
GCVS GK Cha                     =NSV 06334
GCVS GL Cha                     =NSV 06421
GCVS GQ Cha                     =NSV 04740
GCVS IS Cha                     =NSV 05887
GCVS IT Cha                     =NSV 06465
GCVS BP Cir                     =NSV 06786
GCVS CG Cir                     =NSV 06703
GCVS CK Cir                     =NSV 06739
GCVS CL Cir                     =NSV 06776
GCVS CN Cir                     =NSV 06798
GCVS CV Cir                     =NSV 06943
GCVS DF Cir                     =NSV 20072
GCVS DH Cir                     =NSV 06392
GCVS DI Cir                     =NSV 06518
GCVS DK Cir                     =NSV 06792
GCVS DL Cir                     =NSV 06800
GCVS DM Cir                     =NSV 07044
GCVS DN Cir                     =NSV 19968
GCVS DP Cir                     =NSV 06495
GCVS DQ Cir                     =NSV 06532
GCVS DR Cir                     =NSV 06581
GCVS DS Cir                     =NSV 06612
GCVS DT Cir                     =NSV 06641
GCVS DU Cir                     =NSV 06652
GCVS DV Cir                     =NSV 06734
GCVS DW Cir                     =NSV 06732
GCVS DX Cir                     =NSV 06748
GCVS EE Cir                     =NSV 06780
GCVS EF Cir                     =NSV 06789
GCVS EG Cir                     =NSV 06787
GCVS EI Cir                     =NSV 06802
GCVS EK Cir                     =NSV 06803
GCVS EL Cir                     =NSV 06805
GCVS EM Cir                     =NSV 06809
GCVS EN Cir                     =NSV 06823
GCVS EO Cir                     =NSV 06835
GCVS EP Cir                     =NSV 06843
GCVS EQ Cir                     =NSV 06851
GCVS ER Cir                     =NSV 06864
GCVS ET Cir                     =NSV 06879
GCVS EU Cir                     =NSV 06893
GCVS EW Cir                     =NSV 06957
GCVS EY Cir                     =NSV 06980
GCVS del Cir                    =NSV 06998
GCVS X Col                      =UW Col
GCVS TU Col                     =NSV 02671
GCVS UV Col                     =NSV 01911
GCVS AF Col                     =NSV 02864
GCVS AU Col                     =NSV 16795
GCVS AV Col                     =NSV 02740
GCVS AW Col                     =NSV 02826
GCVS AX Col                     =NSV 03034
GCVS BM Col                     =NSV 16633
GCVS BP Col                     =NSV 16803
GCVS lam Col                    =NSV 02709
GCVS TY Com                     =CQ Com
GCVS XY Com                     =BX Com
GCVS AM Com                     =NSV 05721
GCVS GH Com                     =GL Com
GCVS GX Com                     =NSV 19421
GCVS IP Com                     =NSV 06031
GCVS LL Com                     =NSV 06177
GCVS LS Com                     =NSV 19505
GCVS LT Com                     =NSV 19516
GCVS LU Com                     =NSV 19571
GCVS LY Com                     =NSV 19549
GCVS LZ Com                     =NSV 19559
GCVS MO Com                     =NSV 19591
GCVS MP Com                     =NSV 19600
GCVS MS Com                     =NSV 19199
GCVS MT Com                     =NSV 19553
GCVS MU Com                     =NSV 06277
GCVS NO Com                     =NSV 19457
GCVS NU Com                     =NSV 19640
GCVS SS CrA                     =V0422 CrA
GCVS YY CrA                     =V0665 CrA
GCVS V0359 CrA                  =V0530 CrA
GCVS V0577 CrA                  =NSV 10726
GCVS V0592 CrA                  =NSV 10768
GCVS V0607 CrA                  =NSV 10829
GCVS V0712 CrA                  =NSV 10180
GCVS V0721 CrA                  =NSV 24696
GCVS V0726 CrA                  =NSV 11261
GCVS V0728 CrA                  =NSV 09923
GCVS V0729 CrA                  =NSV 10943
GCVS V0731 CrA                  =NSV 10915
GCVS V0732 CrA                  =NSV 11217
GCVS V0733 CrA                  =NSV 11335
GCVS V0734 CrA                  =NSV 11391
GCVS V0735 CrA                  =NSV 11767
GCVS V0737 CrA                  =NSV 24078
GCVS V0744 CrA                  =NSV 10238
GCVS V0746 CrA                  =NSV 10298
GCVS V0749 CrA                  =NSV 11135
GCVS V0754 CrA                  =NSV 09988
GCVS V0755 CrA                  =NSV 10001
GCVS V0757 CrA                  =NSV 11420
GCVS V0758 CrA                  =NSV 11555
GCVS V0759 CrA                  =NSV 10094
GCVS V0760 CrA                  =NSV 10108
GCVS V0761 CrA                  =NSV 10141
GCVS V0762 CrA                  =NSV 10170
GCVS V0763 CrA                  =NSV 10181
GCVS V0765 CrA                  =NSV 10189
GCVS V0766 CrA                  =NSV 10190
GCVS V0767 CrA                  =NSV 10206
GCVS V0768 CrA                  =NSV 10226
GCVS V0769 CrA                  =NSV 10234
GCVS V0770 CrA                  =NSV 10335
GCVS V0771 CrA                  =NSV 10354
GCVS V0772 CrA                  =NSV 10367
GCVS V0773 CrA                  =NSV 10392
GCVS V0774 CrA                  =NSV 10493
GCVS V0775 CrA                  =NSV 10600
GCVS V0778 CrA                  =NSV 10738
GCVS V0779 CrA                  =NSV 10779
GCVS V0780 CrA                  =NSV 10906
GCVS V0781 CrA                  =NSV 10920
GCVS V0782 CrA                  =NSV 10949
GCVS V0783 CrA                  =NSV 10997
GCVS V0784 CrA                  =NSV 11019
GCVS V0785 CrA                  =NSV 11028
GCVS V0786 CrA                  =NSV 11036
GCVS V0787 CrA                  =NSV 11166
GCVS V0788 CrA                  =NSV 11191
GCVS V0789 CrA                  =NSV 11210
GCVS V0790 CrA                  =NSV 11213
GCVS V0791 CrA                  =NSV 11214
GCVS V0793 CrA                  =NSV 11327
GCVS V0794 CrA                  =NSV 11343
GCVS V0795 CrA                  =NSV 11376
GCVS V0796 CrA                  =NSV 11396
GCVS V0797 CrA                  =NSV 11398
GCVS V0798 CrA                  =NSV 11399
GCVS V0799 CrA                  =NSV 11401
GCVS V0800 CrA                  =NSV 11539
GCVS V0801 CrA                  =NSV 11562
GCVS V0802 CrA                  =NSV 11580
GCVS V0803 CrA                  =NSV 11598
GCVS V0804 CrA                  =NSV 11603
GCVS V0805 CrA                  =NSV 11620
GCVS V0806 CrA                  =NSV 11645
GCVS V0807 CrA                  =NSV 11665
GCVS V0808 CrA                  =NSV 11666
GCVS V0809 CrA                  =NSV 11682
GCVS V0810 CrA                  =NSV 11706
GCVS V0811 CrA                  =NSV 11721
GCVS V0812 CrA                  =NSV 11732
GCVS V0813 CrA                  =NSV 11739
GCVS V0814 CrA                  =NSV 11747
GCVS V0815 CrA                  =NSV 11750
GCVS V0816 CrA                  =NSV 11752
GCVS V0817 CrA                  =NSV 11779
GCVS UY CrB                     =NSV 07453
GCVS AQ CrB                     =NSV 07366
GCVS BV CrB                     =NSV 07397
GCVS tet CrB                    =NSV 07134
GCVS VV Crv                     =NSV 05855
GCVS VX Crv                     =NSV 05572
GCVS WW Crv                     =NSV 05526
GCVS WX Crv                     =NSV 05749
GCVS WY Crv                     =NSV 05901
GCVS WZ Crv                     =NSV 05914
GCVS UX Crt                     =NSV 05196
GCVS VX Crt                     =NSV 05284
GCVS AC Crt                     =NSV 05042
GCVS AD Crt                     =NSV 05159
GCVS AE Crt                     =NSV 05327
GCVS AF Crt                     =NSV 05359
GCVS UU Cru                     =NSV 19290
GCVS BU Cru                     =NSV 06012
GCVS BZ Cru                     =NSV 05874
GCVS CH Cru                     =NSV 05858
GCVS DE Cru                     =NSV 05434
GCVS DP Cru                     =NSV 05866
GCVS DS Cru                     =NSV 05991
GCVS DY Cru                     =NSV 19481
GCVS EI Cru                     =NSV 19541
GCVS EK Cru                     =NSV 05435
GCVS EL Cru                     =NSV 19280
GCVS EM Cru                     =NSV 05594
GCVS EN Cru                     =NSV 05616
GCVS EO Cru                     =NSV 05640
GCVS EP Cru                     =NSV 05783
GCVS EQ Cru                     =NSV 19453
GCVS ER Cru                     =NSV 05870
GCVS ES Cru                     =NSV 05930
GCVS ET Cru                     =NSV 05978
GCVS EV Cru                     =NSV 19161
GCVS EW Cru                     =NSV 19271
GCVS del Cru                    =NSV 05510
GCVS tet 2 Cru                  =NSV 05446
GCVS AS Cyg                     =NSV 13434
GCVS CR Cyg                     =UZ Peg
GCVS IQ Cyg                     =V1290 Cyg
GCVS V0354 Cyg                  =V0406 Cyg
GCVS V0460 Cyg                  =DS Peg
GCVS V0611 Cyg                  =NSV 13746
GCVS V0875 Cyg                  =NSV 12112
GCVS V0901 Cyg                  =NSV 12172
GCVS V1027 Cyg                  =NSV 12731
GCVS V1124 Cyg                  =NSV 12124
GCVS V1177 Cyg                  =NSV 12848
GCVS V1242 Cyg                  =NSV 13691
GCVS V1271 Cyg                  =NSV 12314
GCVS V1485 Cyg                  =NSV 12235
GCVS V1485 Cyg                  =NSV 12238
GCVS V1670 Cyg                  =NSV 12121
GCVS V1672 Cyg                  =NSV 12370
GCVS V1673 Cyg                  =NSV 12434
GCVS V1676 Cyg                  =NSV 12795
GCVS V1679 Cyg                  =NSV 12944
GCVS V1685 Cyg                  =NSV 13028
GCVS V1687 Cyg                  =NSV 13030
GCVS V1696 Cyg                  =NSV 13240
GCVS V1702 Cyg                  =NSV 13361
GCVS V1703 Cyg                  =NSV 13363
GCVS V1704 Cyg                  =NSV 13364
GCVS V1724 Cyg                  =NSV 25612
GCVS V1731 Cyg                  =NSV 13823
GCVS V1737 Cyg                  =NSV 13962
GCVS V1762 Cyg                  =NSV 11775
GCVS V1765 Cyg                  =NSV 12436
GCVS V1769 Cyg                  =NSV 12863
GCVS V1770 Cyg                  =NSV 12896
GCVS V1773 Cyg                  =NSV 13005
GCVS V1786 Cyg                  =NSV 25191
GCVS V1787 Cyg                  =NSV 13198
GCVS V1788 Cyg                  =NSV 13250
GCVS V1803 Cyg                  =NSV 13543
GCVS V1804 Cyg                  =NSV 13553
GCVS V1805 Cyg                  =NSV 13557
GCVS V1811 Cyg                  =NSV 13741
GCVS V1812 Cyg                  =NSV 13757
GCVS V1815 Cyg                  =NSV 14002
GCVS V1816 Cyg                  =NSV 12113
GCVS V1823 Cyg                  =NSV 12892
GCVS V1825 Cyg                  =NSV 12973
GCVS V1828 Cyg                  =NSV 13180
GCVS V1901 Cyg                  =NSV 13595
GCVS V1906 Cyg                  =NSV 13721
GCVS V1915 Cyg                  =NSV 13975
GCVS V1916 Cyg                  =NSV 13976
GCVS V1917 Cyg                  =NSV 13978
GCVS V1918 Cyg                  =NSV 12040
GCVS V1943 Cyg                  =NSV 11837
GCVS V1944 Cyg                  =NSV 11848
GCVS V1945 Cyg                  =NSV 11867
GCVS V1946 Cyg                  =NSV 11927
GCVS V1947 Cyg                  =NSV 11951
GCVS V1948 Cyg                  =NSV 12092
GCVS V1949 Cyg                  =NSV 12111
GCVS V1950 Cyg                  =NSV 12246
GCVS V1952 Cyg                  =NSV 12271
GCVS V1953 Cyg                  =NSV 12315
GCVS V1954 Cyg                  =NSV 12463
GCVS V1965 Cyg                  =NSV 12165
GCVS V1967 Cyg                  =NSV 12387
GCVS V1973 Cyg                  =NSV 25129
GCVS V1975 Cyg                  =NSV 13264
GCVS V1977 Cyg                  =NSV 13308
GCVS V1980 Cyg                  =NSV 13477
GCVS V1982 Cyg                  =NSV 13505
GCVS V2011 Cyg                  =NSV 12907
GCVS V2016 Cyg                  =NSV 13293
GCVS V2017 Cyg                  =NSV 13294
GCVS V2018 Cyg                  =NSV 13295
GCVS V2019 Cyg                  =NSV 13317
GCVS V2020 Cyg                  =NSV 13322
GCVS V2022 Cyg                  =NSV 13384
GCVS V2023 Cyg                  =NSV 13409
GCVS V2025 Cyg                  =NSV 13452
GCVS V2026 Cyg                  =NSV 13470
GCVS V2054 Cyg                  =NSV 13496
GCVS V2085 Cyg                  =NSV 12247
GCVS V2090 Cyg                  =NSV 12372
GCVS V2101 Cyg                  =NSV 12684
GCVS V2110 Cyg                  =NSV 12867
GCVS V2116 Cyg                  =NSV 13014
GCVS V2149 Cyg                  =NSV 13630
GCVS V2183 Cyg                  =NSV 13040
GCVS V2193 Cyg                  =NSV 13178
GCVS V2195 Cyg                  =NSV 25294
GCVS V2200 Cyg                  =NSV 13465
GCVS V2208 Cyg                  =NSV 25722
GCVS V2245 Cyg                  =NSV 25130
GCVS V2250 Cyg                  =NSV 25503
GCVS V2253 Cyg                  =NSV 25669
GCVS V2302 Cyg                  =NSV 24916
GCVS V2304 Cyg                  =NSV 24928
GCVS V2305 Cyg                  =NSV 24935
GCVS V2307 Cyg                  =NSV 24955
GCVS V2308 Cyg                  =NSV 24962
GCVS V2310 Cyg                  =NSV 24994
GCVS V2311 Cyg                  =NSV 25050
GCVS V2312 Cyg                  =NSV 25056
GCVS V2314 Cyg                  =NSV 25122
GCVS V2323 Cyg                  =NSV 25393
GCVS V2340 Cyg                  =NSV 25616
GCVS V2345 Cyg                  =NSV 25724
GCVS V2358 Cyg                  =NSV 25767
GCVS V2428 Cyg                  =NSV 25253
GCVS V2429 Cyg                  =NSV 13262
GCVS V2455 Cyg                  =NSV 25610
GCVS V2456 Cyg                  =NSV 13755
GCVS V2469 Cyg                  =NSV 11822
GCVS V2470 Cyg                  =NSV 11924
GCVS V2471 Cyg                  =NSV 12777
GCVS V2472 Cyg                  =NSV 24999
GCVS V2473 Cyg                  =NSV 12860
GCVS V2474 Cyg                  =NSV 12870
GCVS V2475 Cyg                  =NSV 12928
GCVS V2476 Cyg                  =NSV 12945
GCVS V2477 Cyg                  =NSV 13016
GCVS V2478 Cyg                  =NSV 25285
GCVS V2479 Cyg                  =NSV 25325
GCVS V2480 Cyg                  =NSV 13506
GCVS V2481 Cyg                  =NSV 25452
GCVS V2482 Cyg                  =NSV 25482
GCVS V2483 Cyg                  =NSV 25486
GCVS V2484 Cyg                  =NSV 25535
GCVS V2485 Cyg                  =NSV 13625
GCVS V2486 Cyg                  =NSV 13637
GCVS V2487 Cyg                  =NSV 25545
GCVS V2488 Cyg                  =NSV 25674
GCVS V2489 Cyg                  =NSV 25697
GCVS V2490 Cyg                  =NSV 13853
GCVS V2498 Cyg                  =NSV 24774
GCVS V2518 Cyg                  =NSV 12676
GCVS V2533 Cyg                  =NSV 13054
GCVS V2554 Cyg                  =NSV 13216
GCVS V2569 Cyg                  =NSV 13469
GCVS V2571 Cyg                  =NSV 13558
GCVS V2578 Cyg                  =NSV 13593
GCVS V2700 Cyg                  =NSV 24989
GCVS V2709 Cyg                  =NSV 25181
GCVS V2712 Cyg                  =NSV 25409
GCVS V2831 Cyg                  =NSV 13636
GCVS V2842 Cyg                  =NSV 11832
GCVS V2843 Cyg                  =NSV 11830
GCVS V2844 Cyg                  =NSV 11849
GCVS V2845 Cyg                  =NSV 11875
GCVS V2847 Cyg                  =NSV 11946
GCVS V2849 Cyg                  =NSV 11968
GCVS V2851 Cyg                  =NSV 11964
GCVS V2853 Cyg                  =NSV 12055
GCVS V2854 Cyg                  =NSV 12114
GCVS V2856 Cyg                  =NSV 12156
GCVS V2857 Cyg                  =NSV 12132
GCVS V2858 Cyg                  =NSV 12170
GCVS V2862 Cyg                  =NSV 12233
GCVS V2864 Cyg                  =NSV 12237
GCVS V2865 Cyg                  =NSV 12279
GCVS V2867 Cyg                  =NSV 12299
GCVS V2868 Cyg                  =NSV 12340
GCVS V2869 Cyg                  =NSV 12345
GCVS V2870 Cyg                  =NSV 12363
GCVS V2873 Cyg                  =NSV 12466
GCVS V2879 Cyg                  =NSV 12549
GCVS V2881 Cyg                  =NSV 12626
GCVS V2882 Cyg                  =NSV 12634
GCVS V2883 Cyg                  =NSV 12630
GCVS V2886 Cyg                  =NSV 12650
GCVS V2892 Cyg                  =NSV 12682
GCVS V2893 Cyg                  =NSV 12738
GCVS V2895 Cyg                  =NSV 12843
GCVS V2898 Cyg                  =NSV 12881
GCVS V2899 Cyg                  =NSV 12877
GCVS V2900 Cyg                  =NSV 12885
GCVS V2901 Cyg                  =NSV 12875
GCVS V2907 Cyg                  =NSV 12901
GCVS V2908 Cyg                  =NSV 12915
GCVS V2909 Cyg                  =NSV 12922
GCVS V2910 Cyg                  =NSV 12954
GCVS V2919 Cyg                  =NSV 13032
GCVS V2921 Cyg                  =NSV 13047
GCVS V2955 Cyg                  =NSV 13102
GCVS V2968 Cyg                  =NSV 13103
GCVS V2969 Cyg                  =NSV 13109
GCVS V2971 Cyg                  =NSV 13107
GCVS V3014 Cyg                  =NSV 13132
GCVS V3016 Cyg                  =NSV 13134
GCVS V3032 Cyg                  =NSV 25180
GCVS V3056 Cyg                  =NSV 13172
GCVS V3058 Cyg                  =NSV 13181
GCVS V3059 Cyg                  =NSV 13183
GCVS V3060 Cyg                  =NSV 13211
GCVS V3061 Cyg                  =NSV 13231
GCVS V3062 Cyg                  =NSV 13270
GCVS V3063 Cyg                  =NSV 13279
GCVS V3065 Cyg                  =NSV 13288
GCVS V3066 Cyg                  =NSV 13287
GCVS V3067 Cyg                  =NSV 13301
GCVS V3068 Cyg                  =NSV 13306
GCVS V3069 Cyg                  =NSV 13310
GCVS V3070 Cyg                  =NSV 13330
GCVS V3071 Cyg                  =NSV 13343
GCVS V3072 Cyg                  =NSV 13341
GCVS V3075 Cyg                  =NSV 13349
GCVS V3076 Cyg                  =NSV 13362
GCVS V3077 Cyg                  =NSV 13365
GCVS V3078 Cyg                  =NSV 13374
GCVS V3079 Cyg                  =NSV 13371
GCVS V3082 Cyg                  =NSV 13383
GCVS V3083 Cyg                  =NSV 13386
GCVS V3087 Cyg                  =NSV 13401
GCVS V3089 Cyg                  =NSV 13413
GCVS V3093 Cyg                  =NSV 13447
GCVS V3094 Cyg                  =NSV 13457
GCVS V3097 Cyg                  =NSV 13481
GCVS V3102 Cyg                  =NSV 13520
GCVS V3103 Cyg                  =NSV 13523
GCVS V3105 Cyg                  =NSV 13533
GCVS V3106 Cyg                  =NSV 13541
GCVS V3108 Cyg                  =NSV 13545
GCVS V3109 Cyg                  =NSV 13547
GCVS V3110 Cyg                  =NSV 13570
GCVS V3114 Cyg                  =NSV 13576
GCVS V3116 Cyg                  =NSV 13578
GCVS V3117 Cyg                  =NSV 13579
GCVS V3119 Cyg                  =NSV 13585
GCVS V3120 Cyg                  =NSV 13589
GCVS V3121 Cyg                  =NSV 13592
GCVS V3127 Cyg                  =NSV 13624
GCVS V3128 Cyg                  =NSV 13632
GCVS V3129 Cyg                  =NSV 13645
GCVS V3130 Cyg                  =NSV 13649
GCVS V3131 Cyg                  =NSV 13652
GCVS V3132 Cyg                  =NSV 13659
GCVS V3133 Cyg                  =NSV 13661
GCVS V3134 Cyg                  =NSV 13666
GCVS V3144 Cyg                  =NSV 13744
GCVS V3145 Cyg                  =NSV 13764
GCVS V3148 Cyg                  =NSV 13781
GCVS V3152 Cyg                  =NSV 13806
GCVS V3153 Cyg                  =NSV 13808
GCVS V3154 Cyg                  =NSV 13812
GCVS V3156 Cyg                  =NSV 13821
GCVS V3161 Cyg                  =NSV 13854
GCVS V3162 Cyg                  =NSV 13860
GCVS V3164 Cyg                  =NSV 13866
GCVS V3165 Cyg                  =NSV 13873
GCVS V3166 Cyg                  =NSV 13876
GCVS V3167 Cyg                  =NSV 13877
GCVS V3169 Cyg                  =NSV 13882
GCVS V3171 Cyg                  =NSV 13887
GCVS V3172 Cyg                  =NSV 13900
GCVS V3174 Cyg                  =NSV 13912
GCVS V3175 Cyg                  =NSV 13922
GCVS V3177 Cyg                  =NSV 13988
GCVS V3178 Cyg                  =NSV 13989
GCVS LW Del                     =NSV 13191
GCVS LX Del                     =NSV 13368
GCVS MV Del                     =NSV 13150
GCVS NR Del                     =NSV 13430
GCVS OS Del                     =NSV 13112
GCVS OT Del                     =NSV 13121
GCVS OU Del                     =NSV 13149
GCVS OV Del                     =NSV 13271
GCVS OW Del                     =NSV 13304
GCVS OX Del                     =NSV 25346
GCVS V0345 Del                  =NSV 12941
GCVS V0346 Del                  =NSV 13017
GCVS V0347 Del                  =NSV 13042
GCVS V0348 Del                  =NSV 13037
GCVS V0349 Del                  =NSV 13072
GCVS V0350 Del                  =NSV 13080
GCVS V0351 Del                  =NSV 13084
GCVS V0352 Del                  =NSV 13086
GCVS V0353 Del                  =NSV 13088
GCVS V0354 Del                  =NSV 13093
GCVS V0355 Del                  =NSV 13110
GCVS V0356 Del                  =NSV 13117
GCVS V0358 Del                  =NSV 13133
GCVS V0359 Del                  =NSV 13136
GCVS V0360 Del                  =NSV 13139
GCVS V0361 Del                  =NSV 13162
GCVS V0362 Del                  =NSV 13160
GCVS V0363 Del                  =NSV 13177
GCVS V0364 Del                  =NSV 13176
GCVS V0365 Del                  =NSV 13199
GCVS V0367 Del                  =NSV 13214
GCVS V0368 Del                  =NSV 13243
GCVS V0369 Del                  =NSV 13257
GCVS V0370 Del                  =NSV 13292
GCVS V0371 Del                  =NSV 13297
GCVS V0373 Del                  =NSV 13339
GCVS V0374 Del                  =NSV 13422
GCVS V0375 Del                  =NSV 13473
GCVS S Dor                      =LMC V1970
GCVS U Dor                      =LMC V1273
GCVS V Dor                      =LMC V0379
GCVS W Dor                      =LMC V2983
GCVS X Dor                      =LMC V3319
GCVS Y Dor                      =LMC V3381
GCVS Z Dor                      =LMC V3754
GCVS RR Dor                     =LMC V3918
GCVS RS Dor                     =LMC V3900
GCVS RT Dor                     =LMC V2895
GCVS RU Dor                     =LMC V3631
GCVS RV Dor                     =LMC V4707
GCVS RW Dor                     =LMC V1983
GCVS RX Dor                     =LMC V0672
GCVS RY Dor                     =LMC V1674
GCVS ST Dor                     =NSV 01626
GCVS SV Dor                     =LMC V4687
GCVS SW Dor                     =LMC V0694
GCVS SX Dor                     =LMC V0778
GCVS SY Dor                     =LMC V0840
GCVS SZ Dor                     =LMC V1077
GCVS TT Dor                     =LMC V1106
GCVS TU Dor                     =LMC V1445
GCVS TV Dor                     =LMC V1687
GCVS TW Dor                     =LMC V1958
GCVS TX Dor                     =LMC V2419
GCVS TY Dor                     =LMC V2417
GCVS TZ Dor                     =LMC V2489
GCVS UU Dor                     =LMC V4305
GCVS UV Dor                     =LMC V4388
GCVS UW Dor                     =LMC V4491
GCVS UX Dor                     =LMC V4570
GCVS UY Dor                     =LMC V4655
GCVS UZ Dor                     =LMC V4667
GCVS VV Dor                     =LMC V4677
GCVS VW Dor                     =LMC V4680
GCVS VW Dor                     =VZ Dor
GCVS VX Dor                     =LMC V4684
GCVS WY Dor                     =LMC V0055
GCVS XX Dor                     =LMC V0515
GCVS YY Dor                     =LMC V4622
GCVS YZ Dor                     =LMC V4699
GCVS ZZ Dor                     =LMC V0919
GCVS AA Dor                     =LMC V3154
GCVS AB Dor                     =LMC V2798
GCVS AC Dor                     =LMC V0019
GCVS AD Dor                     =LMC V0425
GCVS AE Dor                     =LMC V0447
GCVS AF Dor                     =LMC V4683
GCVS AH Dor                     =LMC V2905
GCVS AI Dor                     =LMC V4145
GCVS AY Dor                     =LMC V4790
GCVS AY Dor                     =NSV 03026
GCVS BD Dor                     =NSV 01687
GCVS alf Dor                    =NSV 01657
GCVS DH Dra                     =NSV 04799
GCVS DL Dra                     =NSV 06777
GCVS DT Dra                     =NSV 11423
GCVS DW Dra                     =NSV 11987
GCVS DX Dra                     =NSV 13056
