HIP   |HD    |BD         |HR  |Fl |Bayer|Comp  |RA          |Dec         |Px    |pmRA    |pmDe    |SpType                    |RV     |mB    |mV   |mI    |B-V   |Cst|Star name                 |FlN    |BaN      |
 25044|35039 |BD-00  930 |1765|22 |O    |      | 80.44061548| -0.38246940|  3.51|   -0.70|    2.20|B2Vs                      |  27.90|10.522| 9.99| 9.405| 0.532|Phe|                          |22Phe  |OPhe     |
 25045|35162 |CD-24  3023|1771|   |     |AB    | 80.44278182|-24.77294979|  9.27|  -38.10|  -12.00|G6III                     |   4.50| 9.155| 8.96| 8.792| 0.195|Psc|                          |       |         |
 25048|34759 |BD+41 1162 |1749|20 |Rho  |      | 80.45168841| 41.80466336|  6.16|   14.45|  -37.23|B3V                       |  16.30|10.990|10.54|10.021| 0.450|Cet|                          |20Cet  |RhoCet   |
 25053|35104 |BD-13 1135 |1769|   |     |      | 80.46246292|-13.75570193|  4.29|   -0.95|    6.67|B8 II                     |  10.00|10.510| 9.26| 8.204| 1.250|And|                          |       |         |
 25098|35580 |CP-56   840|1801|   |Kap  |      | 80.59229948|-56.13445376|  5.14|   -4.99|   21.94|B8/9V                     |  -5.00| 9.176| 9.10| 9.012| 0.076|Cas|                          |       |KapCas   |
 25110|33564 |BD+79  169 |1686|   |     |A     | 80.64073935| 79.23075694| 47.88|  -78.50|  161.00|F7V                       | -10.80| 8.631| 8.19| 7.732| 0.441|Cet|                          |       |         |
 25142|35149 |BD+03  871 |1770|23 |M    |A     | 80.70833878|  3.54444773|  2.10|    1.00|   -0.40|B2 IV/V                   |  18.00|10.247| 9.52| 8.836| 0.727|Phe|                          |23Phe  |MPhe     |
 25143|34904 |BD+40 1268 |1760|   |     |      | 80.70968542| 41.02925322| 11.15|  -12.89|    2.69|A2V                       |  -8.60| 9.812| 8.59| 7.541| 1.222|Scl|                          |       |         |
 25180|35386 |CD-26  2185|1785|   |     |      | 80.79991810|-26.70548953| 20.01|   25.30|   23.90|F6 V                      |  38.30|10.232| 9.81| 9.317| 0.422|Hyi|                          |       |         |
 25187|35281 |BD-08 1107 |1778|   |     |AB    | 80.82713051| -8.41558784|  8.15|  -26.40|   27.60|B8 III                    |  14.00| 9.699| 8.20| 6.815| 1.499|Cet|                          |       |         |
 25192|35076 |BD+28  788 |1768|22 |     |      | 80.84525759| 28.93683900|  6.15|   15.89|  -31.28|B8/9VSi:                  |   9.60| 9.109| 7.94| 6.956| 1.169|Cet|                          |22Cet  |         |
 25194|35515 |CD-39  1940|1793|   |     |      | 80.85001890|-39.67843556|  5.02|   26.75|    4.83|M2 III                    |  62.40| 9.991| 9.50| 8.992| 0.491|Phe|                          |       |         |
 25197|34787 |BD+57  879 |1751|16 |     |A     | 80.86594360| 57.54453159|  9.70|   15.94|  -54.99|B9.5Vnp lambda Boo        |  12.00| 8.034| 7.16| 6.379| 0.874|Cas|                          |16Cas  |         |
 25202|35337 |BD-14 1119 |1783|8  |     |      | 80.87564932|-13.92734987|  1.98|    3.50|   -3.40|B2 IV                     |  21.60| 7.121| 6.75| 6.356| 0.371|Scl|                          |8Scl   |         |
 25205|35242 |BD+05  905 |1777|   |     |      | 80.87951367|  5.32304564| 11.80|  -27.99|   17.02|A2   V                    |   9.00|10.067| 8.62| 7.328| 1.447|Cet|                          |       |         |
 25216|35189 |BD+16  765 |1774|110|     |      | 80.90717576| 16.69935149|  8.01|  -27.17|  -22.35|A4V                       |  20.90| 9.866| 9.37| 8.845| 0.496|Phe|                          |110Phe |         |
 25221|35528 |CD-37  2176|1797|   |     |      | 80.91194691|-37.33670595|  7.13|   10.94|    8.20|K1 III                    |  29.50| 9.620| 9.45| 9.270| 0.170|And|                          |       |         |
 25223|35299 |BD-00  936 |1781|   |     |      | 80.92628586| -0.15981322|  3.72|    1.87|   -2.66|B2 III                    |  22.10| 7.162| 6.95| 6.736| 0.212|And|                          |       |         |
 25240|35317 |BD-01  882 |1782|   |     |ABC   | 80.96388799| -0.86662449| 17.95|   -4.90|   -9.00|F6 V                      |  54.97| 9.313| 8.34| 7.443| 0.973|Phe|                          |       |         |
 25247|35369 |BD-07 1064 |1784|29 |E    |      | 80.98681834| -7.80795536| 20.73|  -14.83|  -44.99|K0 III                    | -18.40|10.213| 9.22| 8.352| 0.993|Phe|                          |29Phe  |EPhe     |
 25278|35296 |BD+17  920 |1780|111|     |A     | 81.10545976| 17.38355182| 69.51|  251.02|   -7.94|F8V                       |  37.70|11.515|10.80|10.072| 0.715|Hyi|                          |111Hyi |         |
 25280|35505 |BD-17 1117 |1792|   |     |      | 81.11861892|-16.97574211| 14.65|   34.51|  -15.36|A0V                       |  21.00| 7.049| 6.39| 5.751| 0.659|Cet|                          |       |         |
 25281|35411 |BD-02 1235 |1788|28 |Eta  |AB    | 81.11923774| -2.39713844|  3.62|   -0.54|   -3.21|B1   V +B2.               |  19.50| 8.618| 7.03| 5.583| 1.588|Scl|                          |28Scl  |EtaScl   |
 25282|35410 |BD-01  886 |1787|27 |P    |      | 81.12046242| -0.89166924| 17.48|  -11.10|  136.00|K0 III                    |  21.18| 8.230| 8.17| 8.047| 0.060|Cas|                          |27Cas  |PCas     |
 25288|35407 |BD+02  947 |1786|   |     |      | 81.15042022|  2.35316726|  2.16|    0.13|   -0.99|B3 V                      |  -8.00| 9.879| 9.42| 8.897| 0.459|Oct|                          |       |         |
 25290|35238 |BD+31  954 |1775|   |     |      | 81.16018429| 31.22393344|  5.21|  -30.03|   -8.36|K1III                     |  41.01|10.678| 9.83| 9.007| 0.848|Phe|                          |       |         |
 25291|35239 |BD+31  955 |1776|   |     |      | 81.16052738| 31.14316301|  4.73|  -10.31|   -5.78|B9III                     |   4.50|10.680|10.38|10.017| 0.300|Cet|                          |       |         |
 25292|35186 |BD+37 1175 |1773|21 |Sig  |AB    | 81.16309204| 37.38537503|  6.98|    0.62|  -11.51|K3III CN+2                | -19.70| 8.246| 6.69| 4.580| 1.556|And|                          |21And  |SigAnd   |
 25302|35439 |BD+01 1005 |1789|25 |     |A     | 81.18677715|  1.84644604|  3.14|    1.00|    0.00|B1 Vn                     |   9.50|10.970| 9.66| 8.552| 1.310|Psc|                          |25Psc  |         |
 25303|35860 |CP-52   718|1818|   |The  |AB    | 81.19288337|-52.31617808|  6.36|   -6.10|  -29.70|A1Va                      |  -3.10| 9.722| 9.74| 9.760|-0.018|Cas|                          |       |TheCas   |
 25317|35765 |CD-44  2036|1813|   |     |      | 81.23157891|-44.22570493|  6.90|   -2.33|    8.08|K1III                     |  15.10| 8.717| 7.49| 6.430| 1.227|Cet|                          |       |         |
 25329|35536 |BD-10 1178 |1799|   |     |      | 81.25725922|-10.32884527|  7.47|    1.77|  -16.56|K4 III                    |  56.60| 8.209| 7.57| 6.800| 0.639|And|                          |       |         |
 25336|35468 |BD+06  919 |1790|24 |Gam  |A     | 81.28278339|  6.34973457| 12.92|   -8.11|  -12.88|B2III                     |  18.20|10.173| 9.61| 9.028| 0.563|Phe|Bellatrix                 |24Phe  |GamPhe   |
 25343|35295 |BD+34 1031 |1779|   |     |A     | 81.30393093| 34.85515502|  7.97|   -7.60|  -49.00|K2III CN+1                | -15.40| 9.141| 8.66| 8.159| 0.481|Cet|                          |       |         |
 25365|35548 |BD-00  945 |1800|   |     |AB    | 81.37950635| -0.54393802|  4.65|   -4.20|   -5.70|B9 III                    | -10.40|10.730| 9.59| 8.593| 1.140|Psc|                          |       |         |
 25378|35588 |BD+00 1056 |1803|   |     |      | 81.44590546|  0.52024361|  2.63|    1.45|   -0.80|B2 V                      |  13.90|10.347|10.11| 9.881| 0.237|Tuc|                          |       |         |
 25397|35736 |BD-19 1173 |1812|   |     |A     | 81.49926203|-19.69535302| 22.21|    1.10|  -19.90|F5 V                      |   7.60| 7.397| 7.31| 7.222| 0.087|And|                          |       |         |
 25401|35640 |BD-05 1247 |1806|   |     |      | 81.50983377| -5.51850422|  4.90|    5.28|    0.26|B8/9 V                    |  18.40| 9.501| 9.51| 9.526|-0.009|Cas|                          |       |         |
 25410|35532 |BD+16  775 |1798|113|     |      | 81.52384352| 16.70017278|  5.57|    0.62|   -5.77|B2V                       |  27.20|10.058| 9.48| 8.850| 0.578|Phe|                          |113Phe |         |
 25428|35497 |BD+28  795 |1791|112|Bet  |A     | 81.57290832| 28.60787362| 24.36|   22.76| -173.58|B5.5IV                    |   9.20| 8.025| 6.43| 4.752| 1.595|Cet|Alnath                    |112Cet |BetCet   |
 25429|36189 |CP-59   472|1836|   |Lam  |      | 81.58032023|-58.91259861|  7.12|  -10.18|   32.08|G8III                     |  10.00|10.250| 9.69| 9.158| 0.560|Cet|                          |       |LamCet   |
 25453|35656 |BD+06  923 |1807|   |     |      | 81.66176719|  6.86873667| 10.85|    9.31|  -33.20|B9.5V                     |  13.10| 8.459| 7.88| 7.314| 0.579|Tuc|                          |       |         |
 25471|35520 |BD+34 1040 |1795|   |     |      | 81.70334720| 34.39182766|  1.55|    0.42|   -7.14|A1III                     |   8.30| 9.000| 8.03| 7.185| 0.970|Phe|                          |       |         |
 25473|35715 |BD+02  962 |1811|30 |Psi  |AB    | 81.70928455|  3.09567703|  2.87|   -6.00|  -12.90|B2 IV                     |  25.40| 9.099| 8.57| 8.013| 0.529|Psc|                          |30Psc  |PsiPsc   |
 25475|35521 |BD+33 1045 |1796|   |     |      | 81.71364861| 33.26228780|  9.92|   10.43|  -11.75|K0                        |  -7.52| 9.365| 9.29| 9.214| 0.075|Cas|                          |       |         |
 25476|35519 |BD+35 1102 |1794|   |     |      | 81.72636672| 35.45730145|  5.55|  -14.30|  -11.99|K7III                     | -20.34| 9.506| 8.75| 8.045| 0.756|Scl|                          |       |         |
 25482|36584 |CP-68   375|1859|   |     |AB    | 81.74925067|-68.62249545| 12.84|   -3.90|  -16.50|F0IV/V                    |  -4.60| 9.093| 7.63| 6.190| 1.463|Phe|                          |       |         |
 25486|35850 |BD-12 1169 |1817|   |     |      | 81.76980371|-11.90084386| 36.98|   17.54|  -50.16|F8V(n) (k)                |  17.00| 8.717| 8.40| 8.070| 0.317|Psc|                          |       |         |
 25488|36060 |CD-41  1884|1827|   |     |A     | 81.77215841|-40.94377328| 10.52|    8.80|   99.40|A5MA5-F2                  |  36.40| 6.490| 6.55| 6.588|-0.060|Scl|                          |       |         |
 25492|35600 |BD+30  898 |1804|   |     |*     | 81.78447033| 30.20861388|  2.27|   -0.60|   -5.50|A0Ib                      |  15.90| 8.828| 8.35| 7.865| 0.478|Cet|                          |       |         |
 25499|35671 |BD+17  928 |1808|115|     |ABC   | 81.79203666| 17.96226762|  5.94|    7.73|  -20.51|B3V                       |  14.90|10.346| 9.77| 9.323| 0.576|Cet|                          |115Cet |         |
 25502|35693 |BD+15  822 |1809|   |     |      | 81.80790754| 15.25765455|  7.67|   -6.36|  -10.84|A1III                     |  24.90| 9.866| 9.44| 9.052| 0.426|And|                          |       |         |
 25532|35991 |BD-21 1174 |1823|   |     |      | 81.90203755|-21.37579090|  8.34|   18.18|   31.94|K0 III                    |  33.90|10.132| 8.85| 4.573| 1.282|Cas|                          |       |         |
 25539|35708 |BD+21  847 |1810|114|O    |A     | 81.90868347| 21.93698211|  5.22|    2.90|   -7.20|B2.5V                     |  16.50|10.550| 9.03| 7.646| 1.520|Hyi|                          |114Hyi |OHyi     |
 25541|35620 |BD+34 1048 |1805|24 |Phi  |A     | 81.91203080| 34.47598646|  7.20|   -2.13|  -38.83|K3III Fe1                 |  30.78|11.450|10.93|10.411| 0.520|Scl|                          |24Scl  |PhiScl   |
 25555|35770 |BD+15  826 |1814|116|     |      | 81.94002480| 15.87410346|  7.69|    4.65|  -21.85|B9.5Vn                    |  16.00| 9.815| 8.74| 7.719| 1.075|Scl|                          |116Scl |         |
 25582|35912 |BD+01 1021 |1820|   |     |      | 82.00612811|  1.29824812|  2.53|   -0.69|    0.70|B2/3 V                    |  33.40| 8.465| 7.99| 7.563| 0.475|Hyi|                          |       |         |
 25583|35802 |BD+17  931 |1816|117|     |      | 82.00666904| 17.23924168|  5.32|   17.23|  -44.91|M1III                     | -23.94| 9.544| 8.56| 7.718| 0.984|Cas|                          |117Cas |         |
 25606|36079 |BD-20 1096 |1829|9  |Bet  |AB    | 82.06135954|-20.75923200| 20.34|   -5.02|  -86.01|G3III                     | -14.20| 7.834| 7.60| 7.367| 0.234|Cas|Nihal                     |9Cas   |BetCas   |
 25608|36187 |CD-37  2220|1835|   |     |      | 82.06386196|-37.23093132| 11.39|   11.50|   68.94|A1V                       |  50.40|10.824| 9.91| 8.900| 0.914|Psc|                          |       |         |
 25638|35909 |BD+13  903 |1819|   |     |      | 82.14486492| 13.67901567| 10.69|    9.48|  -14.95|A4V                       |  25.00|13.386|11.87| 9.560| 1.516|Phe|                          |       |         |
 25667|36058 |BD-03 1115 |1826|   |     |AB    | 82.23713102| -3.30741206|  4.09|   -3.29|   -6.97|A0IV                      |   4.70|11.567| 9.99| 7.622| 1.577|Psc|                          |       |         |
 25685|36255 |CD-30  2421|1838|   |     |      | 82.27788517|-30.11674806|  7.39|  -11.75|    8.71|G8/K0 III                 |  58.80| 9.196| 7.82| 6.065| 1.376|Cas|                          |       |         |
 25695|35943 |BD+25  839 |1821|118|     |AB    | 82.31871951| 25.15030655|  7.67|    7.60|  -39.80|B8V                       |  15.00| 9.504| 8.98| 8.438| 0.524|Psc|                          |118Psc |         |
 25700|36689 |CP-62   479|1867|   |     |      | 82.32215446|-62.31420412|  4.08|    4.12|  -21.73|K4/5III                   |  14.00|12.382|11.07| 9.600| 1.312|Cas|                          |       |         |
 25708|36134 |BD-03 1116 |1830|   |     |      | 82.34875704| -3.44637075|  6.62|  -27.12|   -9.20|K1 III                    |  23.10|10.408| 9.93| 9.591| 0.478|Psc|                          |       |         |
 25714|34653 |BD+77  195 |1745|   |     |      | 82.35689111| 77.97754624|  4.42|   11.55|  -15.06|A6IV                      | -16.30|      |11.00|      |      |And|                          |       |         |
 25730|35984 |BD+29  909 |1822|   |     |      | 82.41931249| 29.18657816| 11.27|   28.39|  -46.71|F6III                     |  13.30| 8.370| 6.81| 4.825| 1.560|Scl|                          |       |         |
 25737|36167 |BD-01  913 |1834|31 |     |A     | 82.43325601| -1.09217580|  6.42|    1.29|  -25.83|K4III                     |   7.50| 9.859| 8.20| 6.718| 1.659|Cas|                          |31Cas  |         |
 25751|36166 |BD+01 1032 |1833|   |     |      | 82.47822152|  1.78926098|  2.28|    1.50|   -1.32|B2 V                      |  11.70| 9.282| 8.29| 7.451| 0.992|Cas|                          |       |         |
 25768|36553 |CD-47  1884|1856|   |     |A     | 82.53942451|-47.07733405| 22.66|   20.40| -132.20|G3.  IV                   |  16.80| 8.178| 8.12| 8.056| 0.058|Cas|                          |       |         |
 25769|35583 |BD+62  759 |1802|17 |     |      | 82.54254017| 63.06723197|  3.47|   -5.68|   -4.64|M1+ IIIa                  | -20.76| 9.708| 9.05| 8.392| 0.658|And|                          |17And  |         |
 25776|39780 |CP-84    75|2059|31 |     |      | 82.55804713|-84.78521160|  8.91|   -7.14|   44.95|A1V                       |  -0.30| 8.103| 7.11| 6.258| 0.993|Cet|                          |31Cet  |         |
 25781|36876 |CP-64   452|1882|   |     |AB    | 82.56610933|-63.92782966|  8.78|    3.00|   58.10|F0IV                      |  11.40|10.486| 9.92| 9.248| 0.566|And|                          |       |         |
 25785|36217 |BD+04  949 |1837|   |Ck   |      | 82.58297208|  4.20485623|  6.02|   17.43|  -25.59|K2/3 III                  |  14.17|11.405|10.75|10.078| 0.655|Scl|                          |       |CkScl    |
 25786|36285 |BD-07 1099 |1840|   |     |      | 82.58647041| -7.43481186|  1.37|    1.33|   -0.94|B2 III                    |  12.90|10.505| 9.99| 9.501| 0.515|Phe|                          |       |         |
 25790|36162 |BD+15  837 |1832|   |     |      | 82.60905647| 15.36054245| 12.89|  -15.04|  -39.20|A2V                       | -16.00| 8.862| 7.65| 6.624| 1.212|Psc|                          |       |         |
 25806|36160 |BD+22  925 |1831|   |     |      | 82.68050270| 22.46230455|  9.13|   44.02|  -20.25|K0                        |   1.89| 8.254| 8.11| 7.972| 0.144|Phe|                          |       |         |
 25810|36041 |BD+39 1322 |1825|   |     |A     | 82.68777825| 39.82600297|  5.70|   21.20|  -35.10|G8III                     |  13.00|12.772|11.31| 9.900| 1.462|Cep|                          |       |         |
 25813|36267 |BD+05  939 |1839|32 |A    |AB    | 82.69603299|  5.94821773| 10.77|    5.10|  -41.70|B5V                       |  18.60| 8.536| 8.04| 7.520| 0.496|And|                          |32And  |AAnd     |
 25816|36040 |BD+41 1206 |1824|   |     |      | 82.70270701| 41.46207789|  7.76|    2.33|  -34.67|K0.5IIIb CN0.5            |  13.82| 8.611| 7.61| 6.748| 1.001|Phe|                          |       |         |
 25853|36473 |BD-20 1105 |1849|10 |     |      | 82.78176497|-20.86355456| 12.01|    7.04|  -42.13|A0V                       | -11.20| 9.643| 9.19| 8.708| 0.453|Scl|                          |10Scl  |         |
 25859|36597 |CD-35  2348|1862|   |Eps  |      | 82.80306422|-35.47043590| 12.39|   27.48|  -34.52|K1 II/III                 |  -4.90|10.515| 9.21| 8.123| 1.305|And|                          |       |EpsAnd   |
 25861|36351 |BD+03  948 |1842|33 |N01  |AB    | 82.81054983|  3.29213501|  2.87|   -0.40|   -6.20|B3 II/III                 |  21.60| 9.790| 9.31| 8.789| 0.480|Cet|                          |33Cet  |N01Cet   |
 25869|36430 |BD-06 1207 |1848|   |     |      | 82.83705117| -6.70838179|  1.40|    1.38|    0.56|B3 V                      |  24.10|11.759|10.66| 9.668| 1.099|Psc|                          |       |         |
 25887|36734 |CD-46  1892|1870|   |     |      | 82.89995173|-45.92540460|  5.95|   15.70|   38.10|K3III                     |   6.80| 8.603| 8.11| 7.598| 0.493|And|                          |       |         |
 25911|32196 |BD+85   74 |1616|   |     |      | 82.94999362| 85.93871513|  9.85|   17.03|  -76.70|A5   M                    |  -6.00|10.592|10.01| 9.431| 0.582|Cet|                          |       |         |
 25918|37763 |CP-76   333|1953|   |Gam  |A     | 82.96942467|-76.34166328| 31.89|  114.30|  283.50|K2III                     |  56.70| 8.129| 7.74| 7.328| 0.389|Psc|                          |       |GamPsc   |
 25923|36512 |BD-07 1106 |1855|36 |Ups  |      | 82.98275103| -7.30152626|  1.14|   -0.13|   -4.90|O8/9V                     |  17.10| 9.646| 8.47| 7.485| 1.176|Scl|Thabit                    |36Scl  |UpsScl   |
 25930|36486 |BD-00  983 |1852|34 |Del  |AD    | 83.00166550| -0.29909343|  4.71|    0.64|   -0.69|O9III                     |  18.50| 9.389| 8.68| 7.900| 0.709|And|Mintaka                   |34And  |DelAnd   |
 25945|36389 |BD+18  875 |1845|119|Ce   |      | 83.05313068| 18.59424522|  1.82|    1.52|   -4.46|M2Iab-Ib                  |  23.75|10.971|10.57|10.133| 0.401|Cas|                          |119Cas |CeCas    |
 25950|36408 |BD+16  794 |1847|   |     |AB    | 83.05893591| 17.05815445|  2.92|   -5.20|  -11.10|B5V                       |  15.00| 8.565| 7.78| 7.059| 0.785|Psc|                          |       |         |
 25973|36066 |BD+57  889 |1828|18 |     |      | 83.14033287| 57.22161682| 23.42|  111.17| -224.81|F8V                       |  33.10| 9.567| 8.62| 7.779| 0.947|Psc|                          |18Psc  |         |
 25980|36591 |BD-01  935 |1861|   |     |AB    | 83.17231049| -1.59183265|  2.09|   -1.90|   -1.70|B2 II/III                 |  34.30| 9.518| 8.08| 6.807| 1.438|Phe|                          |       |         |
 25984|36371 |BD+32 1024 |1843|25 |Chi  |      | 83.18197569| 32.19203144|  0.01|   -2.00|   -2.40|B5Ia                      |  -0.20|10.588| 9.15| 7.871| 1.438|Tuc|                          |25Tuc  |ChiTuc   |
 25985|36673 |BD-17 1166 |1865|11 |Alp  |A     | 83.18255807|-17.82229214|  1.47|    3.56|    1.18|F0Ib                      |  25.10| 8.440| 7.59| 6.832| 0.850|Tuc|Arneb                     |11Tuc  |AlpTuc   |
 25993|36848 |CD-38  2085|1877|   |     |      | 83.21407021|-38.51334589| 18.93|   48.45|  -11.02|K2/3 III                  |  -0.60|10.152| 9.71| 9.245| 0.442|And|                          |       |         |
 26001|37297 |CP-64   456|1917|28 |     |A     | 83.24802012|-64.22751404| 14.08|   39.10|   -6.20|G8/K0III                  |   9.80| 8.585| 7.61| 6.761| 0.975|And|                          |28And  |         |
 26019|36874 |CD-35  2367|1881|   |     |      | 83.28048477|-35.13930793| 12.67|  100.02|  -27.69|K0 III                    |  15.40| 9.336| 7.70| 5.873| 1.636|Phe|                          |       |         |
 26020|36646 |BD-01  939 |1863|   |     |AB    | 83.28060639| -1.71736069|  3.17|   -0.70|   -7.20|B3 V                      |  37.70|11.380|10.78|10.122| 0.600|Cet|                          |       |         |
 26054|36484 |BD+32 1028 |1850|   |     |      | 83.36418793| 32.80131939|  9.41|   -3.40|  -57.12|A1IIs                     |  34.00| 9.178| 8.70| 8.201| 0.478|And|                          |       |         |
 26057|36404 |BD+41 1218 |1846|   |     |      | 83.36966813| 42.10896532|  1.82|    4.45|   -2.83|B9   III(P)(HG).          |   0.30|10.363| 9.85| 9.304| 0.513|Phe|                          |       |         |
 26063|36695 |BD-01  943 |1868|   |Vv   |      | 83.38102879| -1.15607145|  2.22|   -0.55|   -1.07|B9 IV/V                   |   3.30| 9.513| 8.88| 8.200| 0.633|Psc|                          |       |VvPsc    |
 26064|36576 |BD+18  877 |1858|120|     |      | 83.38179105| 18.54023088|  2.10|    2.50|    0.00|B1.5Ve                    |  41.00|11.858|10.60| 9.340| 1.258|Scl|                          |120Scl |         |
 26069|37350 |CD-62   214|1922|   |Bet  |      | 83.40631789|-62.48985574|  3.24|    1.08|   12.49|G2Ib                      |   7.20| 9.615| 8.67| 7.794| 0.945|Psc|                          |       |BetPsc   |
 26071|36499 |BD+34 1083 |1854|   |     |      | 83.40927156| 34.72560425|  7.28|  -14.63|  -14.13|A4V                       |  -6.00| 9.060| 8.48| 7.864| 0.580|And|                          |       |         |
 26072|36589 |BD+20  989 |1860|   |     |      | 83.41181863| 20.47423447|  2.85|    2.35|   -7.07|B6V                       |  25.00| 9.369| 8.99| 8.555| 0.379|Psc|                          |       |         |
 26079|37226 |CP-54   854|1912|   |     |A     | 83.43457283|-54.90231459| 17.95|   66.35|   10.70|F8V                       |  37.90| 8.947| 8.76| 8.592| 0.187|Cas|                          |       |         |
 26091|36965 |CD-29  2348|1888|   |     |      | 83.46661025|-29.84923527|  4.62|   -0.38|    4.46|A0IV                      |  15.10| 9.575| 9.02| 8.439| 0.555|Scl|                          |       |         |
 26093|36653 |BD+14  947 |1864|35 |     |      | 83.47618842| 14.30559189|  7.31|   -0.99|   -5.34|B3V                       |  16.70| 8.791| 8.25| 7.670| 0.541|And|                          |35And  |         |
 26098|36741 |BD+01 1058 |1871|   |     |      | 83.48993806|  1.40764660|  2.92|    2.40|   -0.57|B2 III/IV                 |  15.40| 6.950| 6.57| 6.174| 0.380|Cas|                          |       |         |
 26106|36779 |BD-01  949 |1873|   |     |A     | 83.51620479| -1.03571931|  3.22|    4.90|   -2.80|B2/3  IV/V                |   4.00| 9.450| 8.72| 8.041| 0.730|Cet|                          |       |         |
 26108|36780 |BD-01  950 |1874|   |     |      | 83.51689835| -1.47020470|  4.77|  -11.70|  -23.10|K4 III                    |  88.40| 8.922| 7.89| 6.998| 1.032|Psc|                          |       |         |
 26126|36777 |BD+03  964 |1872|38 |N02  |AB    | 83.56995909|  3.76693362| 11.82|  -25.70|  -17.70|A1 V                      |  -4.00|11.370|10.76|10.049| 0.610|Cas|                          |38Cas  |N02Cas   |
 26169|37993 |CP-73   316|1964|   |     |      | 83.68659232|-73.74136677|  3.00|    0.69|   37.66|M2/3III                   | -10.70| 8.678| 8.57| 8.463| 0.108|Cas|                          |       |         |
 26176|36822 |BD+09  877 |1876|37 |Phi01|AB    | 83.70515782|  9.48958544|  3.00|    0.23|   -2.28|B0IV                      |  33.20|10.570| 9.69| 8.900| 0.880|Psc|                          |37Psc  |Phi01Psc |
 26190|37501 |CP-61   488|1936|   |     |      | 83.73934000|-61.17598314| 10.49|   -7.01|  -27.40|G6III                     |   7.50| 9.730| 9.32| 8.878| 0.410|Scl|                          |       |         |
 26197|36959 |BD-06 1233 |1886|   |     |BC    | 83.75419236| -6.00926936|  1.21|    1.80|    0.90|B1.5V                     |  29.50| 7.930| 7.42| 6.909| 0.510|Cet|                          |       |         |
 26199|36960 |BD-06 1234 |1887|   |     |A     | 83.76117136| -6.00202879|  2.02|    0.90|    3.90|B1/2 Ib/II                |  27.70| 7.484| 7.35| 7.188| 0.134|Psc|                          |       |         |
 26200|37462 |CP-58   526|1930|   |     |      | 83.76145666|-58.87119268|  2.46|  -11.31|   19.48|K4III                     |  32.30|12.790|10.71| 8.080| 2.080|And|                          |       |         |
 26207|36861 |BD+09  879 |1879|39 |Lam  |AB    | 83.78449086|  9.93416302|  2.97|   -2.10|   -2.90|O8III                     |  30.10| 9.154| 8.73| 8.266| 0.424|And|Meissa                    |39And  |LamAnd   |
 26215|36881 |BD+10  818 |1883|   |     |AB    | 83.80516185| 10.24010206|  2.91|   -1.90|  -16.40|B9(III)                   |  32.00| 8.189| 8.30| 8.385|-0.111|Scl|                          |       |         |
 26219|37192 |CD-33  2414|1909|   |     |      | 83.81439461|-33.08000918| 10.82|   29.77|  116.44|K2III-IIIb CN0.5          |  44.00| 7.073| 6.66| 6.233| 0.413|And|                          |       |         |
 26220|37020 |CP-45   644|1893|41 |The01|BDH   | 83.81592896| -5.38731536| -1.85|   -0.92|    0.13|B3III-IV                  |  28.30| 9.552| 9.15| 8.716| 0.402|Phe|                          |41Phe  |The01Phe |
 26221|37022 |BD-05 1315 |1895|41 |The01|AIJ   | 83.81860863| -5.38969624| -1.85|   -3.60|  -33.10|O6.5V                     |  28.00| 9.895| 8.85| 7.955| 1.045|Cas|                          |41Cas  |The01Cas |
 26224|37023 |           |1896|41 |The01|C     | 83.82166016| -5.38768076| -1.85|   -0.92|    0.13|B1.5Vp                    |  31.00| 9.646| 9.06| 8.454| 0.586|Tuc|                          |41Tuc  |The01Tuc |
 26233|37017 |BD-04 1183 |1890|   |     |AB    | 83.84110626| -4.49417477|  2.63|    2.20|    2.60|B2/3 V                    |  29.50|10.606| 9.27| 8.086| 1.336|Tuc|                          |       |         |
 26234|37016 |BD-04 1184 |1891|   |     |AB    | 83.84298358| -4.42432397|  2.45|   -0.70|    3.50|B9 III/IV                 |  31.00|12.720|11.33| 9.490| 1.390|Tuc|                          |       |         |
 26235|37041 |BD-05 1319 |1897|43 |The02|EN    | 83.84541587| -5.41606364|  2.11|    3.70|    4.00|B2Ve                      |  39.90|10.691| 9.99| 9.275| 0.701|Phe|                          |43Phe  |The02Phe |
 26237|37018 |BD-04 1185 |1892|42 |C    |AB    | 83.84650676| -4.83834053|  3.69|   -6.70|    0.40|B1V                       |  28.40| 7.997| 7.59| 7.149| 0.407|Phe|                          |42Phe  |CPhe     |
 26241|37043 |BD-06 1241 |1899|44 |Iot  |A     | 83.85825448| -5.90989986|  1.40|    1.42|   -0.46|O9.5III                   |  31.30| 9.699| 9.49| 9.256| 0.209|Cet|Nair Al Saif              |44Cet  |IotCet   |
 26248|36819 |BD+23  954 |1875|121|     |      | 83.86300233| 24.03963799|  5.90|   11.90|  -19.50|B3V                       |  16.80| 8.919| 8.30| 7.675| 0.619|Hyi|                          |121Hyi |         |
 26257|37040 |BD-04 1186 |1898|   |     |AB    | 83.87948624| -4.36404886|  2.77|  -10.60|   -1.80|B2 V                      |  26.50| 8.831| 7.83| 6.961| 1.001|Cet|                          |       |         |
