# "IAU Catalog of Star Names (IAU-CSN)"
# IAU Division C Working Group on Star Names (WGSN)
# https://www.iau.org/science/scientific_bodies/working_groups/280/
# WGSN Chair: Eric Mamajek. Email questions or comments to: IAUWGSN@gmail.com
# Last updated 2017-11-19
#
# For use of the contents of the data of this file, we encourage users
# to refer to the (identical) official IAU version of the data at:
# https://www.iau.org/public/themes/naming_stars/. All IAU-produced
# products (Images, Videos, Texts) are released under Creative Commons
# Attribution (i.e. free to use in all perpetuity, world-wide, as long
# as the source is mentioned).
#
# Name            Designation  ID    Con #    WDS_J       Vmag    HIP#    HD#  RA(J2000) Dec(J2000) Approved   Notes
Acamar            HR 897       tet01 Eri A    02583-4018  2.88   13847  18622  44.565311 -40.304672 2016-07-20 * 
Sargas            HR 6553      tet   Sco A    17373-4300  1.86   86228 159532 264.329711 -42.997824 2016-08-21 
Sarin             HR 6410      del   Her Aa   17150+2450  3.12   84379 156164 258.757963  24.839204 2016-09-12 
Sceptrum          HR 1481      53    Eri A    04382-1418  4.02   21594  29503  69.545104 -14.304017 2017-06-30 
Scheat            HR 8775      bet   Peg -    23038+2805  2.44  113881 217906 345.943572  28.082785 2016-06-30 
Schedar           HR 168       alf   Cas -    00405+5632  2.24    3179   3712  10.126838  56.537331 2016-08-21 
Secunda Hyadum    HR 1373      del01 Tau Aa   04230+1732  3.78   20455  27697  65.733719  17.542514 2017-09-05 
Segin             HR 0542      eps   Cas -    -           3.35    8886  11415  28.598857  63.670101 2017-09-05 
Seginus           HR 5435      gam   Boo Aa   14321+3818  3.04   71075 127762 218.019466  38.308251 2016-08-21 
Sham              HR 7479      alf   Sge -    19401+1801  4.39   96757 185758 295.024133  18.013891 2016-09-12 
Shaula            HR 6527      lam   Sco Aa   17336-3706  2.08   85927 158926 263.402167 -37.103824 2016-07-20 
Sheliak           HR 7106      bet   Lyr Aa1  18501+3322  3.60   92420 174638 282.519978  33.362668 2016-08-21 
Sheratan          HR 553       bet   Ari A    01546+2049  2.70    8903  11636  28.660046  20.808031 2016-07-20 
Sirius            HR 2491      alf   CMa A    06451-1643 -1.45   32349  48915 101.287155 -16.716116 2016-06-30 
Situla            HR 8610      kap   Aqr A    22378-0414  5.04  111710 214376 339.439084  -4.228056 2016-09-12 
Skat              HR 8709      del   Aqr A    -           3.27  113136 216627 343.662556 -15.820827 2016-08-21 
Spica             HR 5056      alf   Vir Aa   13252-1110  0.98   65474 116658 201.298247 -11.161319 2016-06-30 
Sualocin          HR 7906      alf   Del Aa   20396+1555  3.86  101958 196867 309.909530  15.912073 2016-09-12 
Subra             HR 3852      omi   Leo Aa   09412+0954  3.52   47508  83808 145.287640   9.892308 2016-09-12 
Suhail            HR 3634      lam   Vel -    09080-4326  2.23   44816  78647 136.998993 -43.432589 2016-08-21 
Sulafat           HR 7178      gam   Lyr -    18589+3241  3.25   93194 176437 284.735928  32.689557 2016-08-21 
Syrma             HR 5338      iot   Vir -    -           4.07   69701 124850 214.003623  -6.000545 2016-09-12 
Tabit             HR 1543      pi03  Ori -    04498+0658  3.19   22449  30652  72.460045   6.961275 2017-09-05 
Taiyangshou       HR 4518      chi   UMa -    -           3.69   57399 102224 176.512559  47.779406 2017-06-30 
Taiyi             HR 4916      8     Dra -    -           5.23   63076 112429 193.868951  65.438474 2017-06-30 
Talitha           HR 3569      iot   UMa Aa   08592+4803  3.12   44127  76644 134.801890  48.041826 2016-07-20 
Tania Australis   HR 4069      mu    UMa A    -           3.06   50801  89758 155.582250  41.499519 2016-07-20 
Tania Borealis    HR 4033      lam   UMa A    -           3.45   50372  89021 154.274095  42.914356 2016-07-20 
Tarazed           HR 7525      gam   Aql -    19463+1037  2.72   97278 186791 296.564915  10.613262 2016-08-21 
Taygeta           HR 1145      19    Tau Aa   03452+2428  4.30   17531  23338  56.302063  24.467270 2016-08-21 
Tegmine           HR 3208      zet01 Cnc A    08122+1739  5.24   40167  68255 123.053168  17.647801 2016-09-12 
Tejat             HR 2286      mu    Gem Aa   06230+2231  2.87   30343  44478  95.740112  22.513583 2017-02-01 
Terebellum        HR 7597      ome   Sgr A    -           4.70   98066 188376 298.959838 -26.299534 2017-09-05 
Theemin           HR 1464      ups02 Eri -    -           3.81   21393  29291  68.887660 -30.562341 2017-02-01 
Thuban            HR 5291      alf   Dra A    14044+6423  3.67   68756 123299 211.097291  64.375851 2016-06-30 
Tiaki             HR 8636      bet   Gru -    -           2.12  112122 214952 340.666876 -46.884576 2017-09-05 
Tianguan          HR 1910      zet   Tau A    -           2.97   26451  37202  84.411189  21.142544 2017-06-30 
Tianyi            HR 4863      7     Dra -    -           5.43   62423 111335 191.893099  66.790305 2017-06-30 
Titawin           HR 458       ups   And A    01368+4124  4.09    7513   9826  24.199342  41.405457 2015-12-15 
Tonatiuh          HR 4609      -     Cam -    -           5.80   58952 104985 181.312995  76.905735 2015-12-15 
Torcular          HR 510       omi   Psc A    01454+0909  4.29    8198  10761 026.348466   9.157737 2017-09-05 
Tureis            HR 3185      rho   Pup A    08075-2418  2.83   39757  67523 121.886037 -24.304324 2016-09-12 
Unukalhai         HR 5854      alf   Ser -    15443+0626  2.63   77070 140573 236.066976   6.425629 2016-08-21 
Unurgunite        HR 2646      sig   CMa -    07017-2756  3.49   33856  52877 105.429782 -27.934830 2017-09-05 
Vega              HR 7001      alf   Lyr -    18369+3846  0.03   91262 172167 279.234735  38.783689 2016-06-30 
Veritate          HR 8930      14    And A    23313+3914  5.22  116076 221345 352.822556  39.236197 2015-12-15 
Vindemiatrix      HR 4932      eps   Vir -    13022+1058  2.85   63608 113226 195.544157  10.959149 2016-07-20 
Wasat             HR 2777      del   Gem Aa   07201+2159  3.52   35550  56986 110.030749  21.982316 2016-08-21 
Wazn              HR 2040      bet   Col -    05510-3546  3.12   27628  39425  87.739968 -35.768310 2016-07-20 
Wezen             HR 2693      del   CMa Aa   07084-2624  1.83   34444  54605 107.097850 -26.393200 2016-07-20 
Wurren            HR 338       zet   Phe Aa   01084-5515  4.02    5348   6882  17.096173 -55.245758 2017-11-17
Xamidimura        HR 6247      mu01  Sco Aa   16519-3803  3.00   82514 151890 252.967630 -38.047380 2017-09-05 *
Xuange            HR 5351      lam   Boo -    14164+4605  4.18   69732 125162 214.095912  46.088306 2017-06-30 
Yed Posterior     HR 6075      eps   Oph -    16183-0442  3.23   79882 146791 244.580374  -4.692510 2016-10-05 
Yed Prior         HR 6056      del   Oph -    16143-0342  2.73   79593 146051 243.586411  -3.694323 2016-10-05 
Yildun            HR 6789      del   UMi -    17322+8635  4.35   85822 166205 263.054126  86.586462 2016-08-21 
Zaniah            HR 4689      eta   Vir Aa   12199-0040  4.60   60129 107259 184.976476  -0.666793 2016-09-12 
Zaurak            HR 1231      gam   Eri -    03580-1331  2.97   18543  25025  59.507360 -13.508516 2016-07-20 
Zavijava          HR 4540      bet   Vir -    11507+0146  3.59   57757 102870 177.673826   1.764717 2016-08-21 
Zhang             HR 3903      ups01 Hya A    -           4.11   48356  85444 147.869558 -14.846603 2017-06-30 
Zibal             HR 984       zet   Eri Aa   03158-0849  4.80   15197  20320  48.958436  -8.819731 2016-09-12 
Zosma             HR 4357      del   Leo -    11141+2031  2.56   54872  97603 168.527089  20.523718 2016-07-20 
Zubenelgenubi     HR 5531      alf02 Lib Aa   14509-1603  2.75   72622 130841 222.719638 -16.041777 2016-08-21 
Zubenelhakrabi    HR 5787      gam   Lib A    15355-1447  3.91   76333 138905 233.881578 -14.789536 2017-09-05 
Zubeneschamali    HR 5685      bet   Lib -    -           2.61   74785 135742 229.251724  -9.382914 2016-08-21 
#
# Notes: "ID" column is either Bayer greek letter (using abbreviations
# recognized by the SESAME and SIMBAD databases; e.g. "alf" = alpha)
# or Flamsteed numbers, as IDed following the The Bright Star
# Catalogue, 5th Revised Ed. (Hoffleit & Warren 1991). Names marked
# approved "2015-12-15" are exoplanet host star names - a mix of
# common names and names adopted via the NameExoWorlds contest -
# reviewed and adopted by the Executive Committee WG Public Naming of
# Planets and Planetary Satellites, and formally recognized by WGSN.
# The "#" after the constellation column is the component # to
# Washington Double Star catalog multiple system, if needed
# (e.g. Proxima Centauri = alf Cen "C"), but may be left blank where
# the primary by visual brightness is unambiguous (blank = A) or if
# the other Washington Double Star catalog entries are obviously
# unphysical (i.e. the star appears to have no known physical stellar
# companions). Component identifiers are also given where the star
# does not have a WDS entry (i.e. is not a resolved multiple), but the
# star is either known to be a spectroscopic binary or astrometric
# binary in the literature (usually a "A" or "Aa" is given in those
# cases, e.g. Wezen). Many thanks to Brian Mason (IAU Commission G1
# Binary and Multiple Star Systems) for vetting the WDS designations
# and IDs. Magnitudes are for individual components, where available
# or calculable from the literature, and so may appear fainter than
# other published values representing the unresolved brightness of a
# multiple system. A detailed article on the WGSN's activities, table
# of star names, and discussion of etymologies, will be published in
# 2018.
#
# Notes:
# * Acamar is tet01 Eri = tet Eri A = WDS J02583-4018A.
# * Algieba is gam01 Leo = gam Leo A = WDS J10200+1950A.
# * Alcor is 80 UMa A, which is component Ca of multiple WDS
#     J13239+5456 (Mizar is component Aa).
# * Almach is gam01 And = gam And A = WDS J02039+4220A.
# * Pipirima is mu02 Sco (WDS J16523-3801A) and Xamidimura is mu01 Sco
#     Aa (WDS J16519-3803Aa) and, however the these two stars are a
#     wide physical multiple (WDS J16519-3803AD; sep. 346.8").

